Files,Before,Size,After,Time
0,180079882240,15700,180079779840,9e-05
0,180079779840,15800,180079677440,0.000126
0,180079677440,15900,180079575040,0.000118
0,180079575040,16000,180079472640,8.1e-05
0,180079472640,16100,180079370240,0.000127
0,180079370240,16200,180079267840,0.000125
0,180079267840,16300,180079165440,9e-05
0,180079165440,16400,180079063040,0.000113
0,180079063040,16500,180078960640,0.000131
0,180078960640,16600,180078858240,9.1e-05
0,180078858240,16700,180078755840,0.000102
0,180078755840,16800,180078653440,0.000135
0,180078653440,16900,180078551040,0.000107
0,180078551040,17000,180078448640,0.000101
0,180078448640,17100,180078346240,0.000126
0,180078346240,17200,180078243840,0.000115
0,180078243840,17300,180078141440,8.4e-05
0,180078141440,17400,180078039040,0.000134
0,180078039040,17500,180077936640,0.000122
0,180077936640,17600,180077834240,8.4e-05
0,180077834240,17700,180077731840,0.000137
0,180077731840,17800,180077629440,0.000118
0,180077629440,17900,180077527040,8.9e-05
0,180077527040,18000,180077424640,0.000122
0,180077424640,18100,180077322240,0.000122
0,180077322240,18200,180077219840,9.4e-05
0,180077219840,18300,180077117440,0.000117
0,180077117440,18400,180077015040,0.000122
0,180077015040,18500,180076912640,9.4e-05
0,180076912640,18600,180076810240,0.000114
0,180076810240,18700,180076707840,0.000131
0,180076707840,18800,180076605440,0.000101
0,180076605440,18900,180076503040,0.000109
0,180076503040,19000,180076400640,0.000124
0,180076400640,19100,180076298240,0.000105
0,180076298240,19200,180076195840,0.000143
0,180076195840,19300,180076093440,0.000121
0,180076093440,19400,180075991040,0.000112
0,180075986944,19500,180075884544,0.000132
0,180075884544,19600,180075782144,0.000114
0,180075782144,19700,180075679744,0.000125
0,180075679744,19800,180075577344,0.000109
0,180075577344,19900,180075474944,0.00013
0,180075474944,20000,180075372544,0.000122
0,180075372544,20100,180075270144,0.000117
0,180075270144,20200,180075167744,0.000143
0,180075167744,20300,180075065344,0.000119
0,180075065344,20400,180074962944,0.000133
0,180074962944,20500,180074860544,0.000125
0,180074860544,20600,180074758144,0.000127
0,180074758144,20700,180074655744,0.000127
0,180074655744,20800,180074553344,0.000135
0,180074553344,20900,180074450944,0.000129
0,180074450944,21000,180074348544,0.00014
0,180074348544,21100,180074246144,0.000134
0,180074246144,21200,180074143744,0.000113
0,180074143744,21300,180074041344,9.3e-05
0,180074041344,21400,180073938944,0.000134
0,180073938944,21500,180073836544,0.000117
0,180073836544,21600,180073734144,8.6e-05
0,180073734144,21700,180073631744,0.000123
0,180073631744,21800,180073529344,0.000116
0,180073529344,21900,180073426944,9.8e-05
0,180073426944,22000,180073324544,0.000125
0,180073324544,22100,180073222144,0.000116
0,180073222144,22200,180073119744,0.000122
0,180073119744,22300,180073017344,0.000114
0,180073017344,22400,180072914944,8.4e-05
0,180072914944,22500,180072812544,0.000118
0,180072812544,22600,180072710144,0.00011
0,180072710144,22700,180072607744,8.1e-05
0,180072607744,22800,180072505344,0.000109
0,180072505344,22900,180072402944,0.00012
0,180072402944,23000,180072300544,0.000114
0,180072300544,23100,180072198144,0.000124
0,180072198144,23200,180072095744,0.000109
0,180072095744,23300,180071993344,0.000118
0,180071993344,23400,180071890944,0.000119
0,180071890944,23500,180071788544,0.000113
0,180071788544,23600,180071686144,0.000137
0,180071686144,23700,180071583744,0.000103
0,180071583744,23800,180071481344,0.000127
0,180071481344,23900,180071378944,0.000118
0,180071378944,24000,180071276544,0.000134
0,180071276544,24100,180071174144,0.000128
0,180071174144,24200,180071071744,8.6e-05
0,180071071744,24300,180070969344,0.000103
0,180070969344,24400,180070866944,0.00013
0,180070866944,24500,180070764544,0.000105
0,180070764544,24600,180070662144,0.000111
0,180070662144,24700,180070559744,9.8e-05
0,180070559744,24800,180070457344,0.000126
0,180070457344,24900,180070354944,0.000119
0,180070354944,25000,180070252544,0.000116
0,180070252544,25100,180070150144,8.3e-05
0,180070150144,25200,180070047744,0.000125
0,180070047744,25300,180069945344,0.000119
0,180069945344,25400,180069842944,0.00012
0,180069842944,25500,180069740544,9.9e-05
0,180069740544,25600,180069638144,0.000108
0,180069638144,25700,180069535744,0.00014
0,180069535744,25800,180069433344,0.000122
0,180069433344,25900,180069330944,9.8e-05
0,180069330944,26000,180069228544,0.000104
0,180069228544,26100,180069126144,0.000142
0,180069126144,26200,180069023744,0.00012
0,180069023744,26300,180068921344,0.000114
0,180068921344,26400,180068818944,8.2e-05
0,180068818944,26500,180068716544,0.000126
0,180068716544,26600,180068614144,0.00012
0,180068614144,26700,180068511744,0.000123
0,180068511744,26800,180068409344,9.1e-05
0,180068409344,26900,180068306944,0.000114
0,180068306944,27000,180068204544,0.00015
0,180068204544,27100,180068102144,0.000122
0,180068102144,27200,180067999744,8.8e-05
0,180067999744,27300,180067897344,0.000104
0,180067897344,27400,180067794944,0.000128
0,180067794944,27500,180067692544,0.00012
0,180067692544,27600,180067590144,0.0001
0,180067590144,27700,180067487744,0.000107
0,180067487744,27800,180067385344,0.000138
0,180067385344,27900,180067282944,0.000111
0,180067282944,28000,180067180544,0.00011
0,180067180544,28100,180067078144,8.4e-05
0,180067078144,28200,180066975744,0.000133
0,180066975744,28300,180066873344,0.000124
0,180066873344,28400,180066770944,0.000115
0,180066770944,28500,180066668544,7.9e-05
0,180066668544,28600,180066566144,0.000124
0,180066566144,28700,180066463744,0.000129
0,180066463744,28800,180066361344,0.000125
0,180066361344,28900,180066258944,8.1e-05
0,180066258944,29000,180066156544,0.000106
0,180066152448,29100,180066050048,0.000132
0,180066050048,29200,180065947648,0.000138
0,180065947648,29300,180065845248,8.4e-05
0,180065845248,29400,180065742848,0.000102
0,180065742848,29500,180065640448,0.000143
0,180065640448,29600,180065538048,0.000154
0,180065538048,29700,180065435648,8.6e-05
0,180065435648,29800,180065333248,0.00011
0,180065333248,29900,180065230848,0.000122
0,180065230848,30000,180065128448,0.000126
0,180065128448,30100,180065026048,9.5e-05
0,180065026048,30200,180064923648,8.8e-05
0,180064923648,30300,180064821248,0.000134
0,180064821248,30400,180064718848,0.00016
0,180064718848,30500,180064616448,0.000103
0,180064616448,30600,180064514048,7.9e-05
0,180064514048,30700,180064407552,0.000184
0,180064407552,30800,180064305152,8e-05
0,180064305152,30900,180064202752,7.4e-05
0,180064202752,31000,180064100352,7.3e-05
