Number,Inserted,Space,Time
42,2.09715e+10,152285491200,1.90129
41,2.04472e+10,152285491200,1.78645
40,1.99229e+10,152285491200,1.81965
39,1.93987e+10,152285491200,1.8689
38,1.88744e+10,152285491200,1.7641
37,1.83501e+10,152285491200,1.7865
36,1.78258e+10,152285491200,1.81939
35,1.73015e+10,152285491200,2.8618
34,1.67772e+10,152285491200,3.22347
33,1.62529e+10,152285491200,2.52842
32,1.57286e+10,152285491200,1.67173
31,1.52044e+10,152285491200,1.7677
30,1.46801e+10,152285491200,2.77326
29,1.41558e+10,152285491200,3.13522
28,1.36315e+10,152285491200,3.09559
27,1.31072e+10,152285491200,2.94411
26,1.25829e+10,152285491200,3.24212
25,1.20586e+10,152285491200,3.11146
24,1.15343e+10,152285491200,2.74326
23,1.101e+10,152285491200,2.79039
22,1.04858e+10,152285491200,2.95103
21,9.96147e+09,152285491200,2.96938
20,9.43718e+09,152285491200,2.72956
19,8.9129e+09,152285491200,3.00569
18,8.38861e+09,152285491200,2.84661
17,7.86432e+09,152285491200,3.00854
16,7.34003e+09,152285491200,3.04748
15,6.81574e+09,152285491200,2.99039
14,6.29146e+09,152285491200,2.93436
13,5.76717e+09,152285491200,3.26048
12,5.24288e+09,152285491200,2.85688
11,4.71859e+09,152285491200,3.39282
10,4.1943e+09,152285491200,3.07527
9,3.67002e+09,152285487104,3.05689
8,3.14573e+09,152285487104,3.06706
7,2.62144e+09,152285487104,2.94688
6,2.09715e+09,152285487104,2.76668
5,1.57286e+09,152285487104,2.7745
4,1.04858e+09,152285487104,2.89184
3,5.24288e+08,152285487104,2.86704
2,0,152285487104,3.16033
Total restructure time: 1.49532
